Question,Number,Python,Java,JavaScript,C,Total # Test Cases,Difficulty
Two Sum,1,57,57,57,57,57,Easy
Pascal's Triangle,2,14,14,14,14,14,Easy
Pascal's Triangle II,3,34,34,34,34,34,Easy
Counting Bits,4,15,15,15,15,15,Easy
Unique Substrings in Wraparound String,5,50,12,6,50,81,Medium
Ugly Number II,6,596,596,0 (RE),CE,596,Medium
Super Ugly Number,7,82 (TLE),85,6,CE,85,Medium
Rotate Function,8,57,47,58,58,58,Medium
Partition Equal Subset Sum,9,114,116,0 (RE),116,116,Medium
Non-overlapping Intervals,10,58,58,14,10,58,Medium
Longest Increasing Subsequence,11,54,54,0 (RE),54,54,Medium
Largest Divisible Subset,12,42,49,49,24,49,Medium
Integer Replacement,13,47,46 (RE),11,CE,47,Medium
Integer Break,14,17,50,50,50,50,Medium
Construct Binary Tree from Inorder and Postorder Traversal,15,202,202,202,202,202,Medium
Combination Sum IV,16,15,15,0,14 (RE),15,Medium
Coin Change,17,188,188,36,CE,188,Medium
Count Numbers with Unique Digits,18,2,0,0 (RE),9,9,Medium
Can I Win,19,0 (RE),34,0 (RE),CE,57,Medium
Best Time to Buy and Sell Stock with Cooldown,20,110,19,110,CE,210,Medium
Arithmetic Slices,21,10,10,0,10,15,Medium
Russian Doll Envelopes,22,83 (TLE),0,84,CE,84,Hard
Poor Pigs,23,17,17,0 (RE),17,17,Hard
Distinct Subsequences,24,64,64,3,60 (RE),64,Hard
Burst Balloons,25,70,0,0 (RE),0 (RE),70,Hard
Split Array Largest Sum,26,0 (RE),30,0 (RE),30,30,Hard
Number of Digit One,27,0 (RE),38,35 (TLE),38,38,Hard
Max Sum of Rectangle No Larger Than K,28,1,14,26,2,39,Hard
Longest Increasing Path in a Matrix,29,0 (RE),138,0 (RE),CE,138,Hard
Frog Jump,30,24,26,0 (RE),28,51,Hard
Count The Repetitions,31,0 (RE),39 (TLE),7,0 (TLE),49,Hard
Concatenated Words,32,0,27,0 (RE),0,44,Hard
Arithmetic Slices II - Subsequence,33,10,10,7,5,101,Hard